,node_id,node_type,node_name,node_source,group_name_auto,group_name_bert
0,12204,disease,familial pseudohyperkalemia,MONDO,familial pseudohyperkalemia,familial pseudohyperkalemia
1,7217,disease,brachydactyly type A3,MONDO,brachydactyly,brachydactyly
2,10435,disease,"nystagmus 6, congenital, X-linked",MONDO,"nystagmus 6, congenital, X-linked","nystagmus 6, congenital, X-linked"
3,7764,disease,"autosomal dominant osteosclerosis, Worth type",MONDO,"autosomal dominant osteosclerosis, Worth type","autosomal dominant osteosclerosis, Worth type"
4,10541,disease,X-linked calvarial hyperostosis,MONDO,X-linked calvarial hyperostosis,X-linked calvarial hyperostosis
5,8024,disease,"neuronopathy, distal hereditary motor, type 7A",MONDO,"neuronopathy, distal hereditary motor,","neuronopathy, distal hereditary motor,"
6,11907,disease,acrocapitofemoral dysplasia,MONDO,acrocapitofemoral dysplasia,acrocapitofemoral dysplasia
7,9151,disease,cleft lip/palate-ectodermal dysplasia syndrome,MONDO,cleft lip/palate-ectodermal dysplasia syndrome,cleft lip/palate-ectodermal dysplasia syndrome
8,7841,disease,coxopodopatellar syndrome,MONDO,coxopodopatellar syndrome,coxopodopatellar syndrome
9,12345,disease,acral peeling skin syndrome,MONDO,acral peeling skin syndrome,acral peeling skin syndrome
10,13120,disease,"46,XY sex reversal 5",MONDO,"46,XY sex reversal","46,XY sex reversal"
11,10589,disease,"Aarskog-Scott syndrome, X-linked",MONDO,"Aarskog-Scott syndrome, X-linked","Aarskog-Scott syndrome, X-linked"
12,8919,disease,systemic primary carnitine deficiency disease,MONDO,systemic primary carnitine deficiency disease,systemic primary carnitine deficiency disease
13,10200,disease,Wilson disease,MONDO,Wilson disease,Wilson disease
14,8513,disease,synpolydactyly type 1,MONDO,synpolydactyly,synpolydactyly
15,30105,disease,galactosemia 4,MONDO,galactosemia 4,galactosemia 4
16,10803,disease,Eiken syndrome,MONDO,Eiken syndrome,Eiken syndrome
17,14348,disease,"intellectual disability, autosomal recessive 42",MONDO,"intellectual disability, autosomal recessive","intellectual disability, autosomal recessive"
18,11710,disease,specific language impairment 1,MONDO,specific language impairment,specific language impairment
19,10604,disease,hemophilia B,MONDO,hemophilia,hemophilia
20,7201,disease,"blepharophimosis, ptosis, and epicanthus inversus syndrome",MONDO,"blepharophimosis, ptosis, and epicanthus inversus syndrome","blepharophimosis, ptosis, and epicanthus inversus syndrome"
21,8322,disease,pseudoachondroplasia,MONDO,pseudoachondroplasia,pseudoachondroplasia
22,7422,disease,keratoderma hereditarium mutilans,MONDO,keratoderma hereditarium mutilans,keratoderma hereditarium mutilans
23,13460,disease,osteogenesis imperfecta type 12,MONDO,osteogenesis imperfecta,osteogenesis imperfecta
24,33308,disease,Joubert syndrome 30,MONDO,Joubert syndrome,Joubert syndrome
25,10215,disease,xeroderma pigmentosum group F,MONDO,xeroderma pigmentosum group,xeroderma pigmentosum group
26,11568,disease,autosomal dominant nonsyndromic hearing loss 25,MONDO,autosomal dominant nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
27,9663,disease,mucus inspissation of respiratory tract,MONDO,mucus inspissation of respiratory tract,mucus inspissation of respiratory tract
28,13283,disease,"immunodeficiency, common variable, 3",MONDO,"immunodeficiency, common variable","immunodeficiency, common variable"
29,11219,disease,Fried's tooth and nail syndrome,MONDO,Fried's tooth and nail syndrome,Fried's tooth and nail syndrome
30,9262,disease,GM1 gangliosidosis type 3,MONDO,GM1 gangliosidosis,GM1 gangliosidosis
31,33564,disease,oocyte maturation defect 8,MONDO,oocyte maturation defect,oocyte maturation defect
32,10074,disease,"brachyolmia type 1, toledo type",MONDO,"brachyolmia type 1, toledo type","brachyolmia type 1, toledo type"
33,11738,disease,bilateral frontoparietal polymicrogyria,MONDO,bilateral frontoparietal polymicrogyria,bilateral frontoparietal polymicrogyria
34,13558,disease,Hermansky-Pudlak syndrome 6,MONDO,Hermansky-Pudlak syndrome,Hermansky-Pudlak syndrome
35,7315,disease,cherubism,MONDO,cherubism,cherubism
36,13967,disease,peroxisome biogenesis disorder 14B,MONDO,peroxisome biogenesis disorder,peroxisome biogenesis disorder
37,12380,disease,autosomal dominant nonsyndromic hearing loss 53,MONDO,autosomal dominant nonsyndromic hearing loss,autosomal dominant nonsyndromic hearing loss
38,8354,disease,purpura simplex,MONDO,purpura simplex,purpura simplex
39,7045,disease,"acrofacial dysostosis, Catania type",MONDO,"acrofacial dysostosis, Catania type","acrofacial dysostosis, Catania type"
40,60527,disease,maleylacetoacetate isomerase deficiency,MONDO,maleylacetoacetate isomerase deficiency,maleylacetoacetate isomerase deficiency
41,10615,disease,isolated growth hormone deficiency type III,MONDO,isolated growth hormone deficiency,isolated growth hormone deficiency
42,100157,disease,Imerslund-Grasbeck syndrome type 2,MONDO,Imerslund-Grasbeck syndrome,Imerslund-Grasbeck syndrome
43,8099,disease,congenital stationary night blindness autosomal dominant 2,MONDO,congenital stationary night blindness autosomal dominant,congenital stationary night blindness autosomal dominant
