Unnamed: 0,node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert
1,7217,disease,brachydactyly type A3,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
246,14032,disease,brachydactyly type A1C,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
276,7218,disease,brachydactyly type A4,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
1271,7215,disease,brachydactyly type A1,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
2896,13244,disease,brachydactyly type E2,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
3000,7216,disease,brachydactyly type A2,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
5304,7223,disease,brachydactyly type E1,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
5888,12658,disease,brachydactyly type B2,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
6160,7221,disease,brachydactyly type C,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
7441,14798,disease,brachydactyly type A1D,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
7502,11757,disease,brachydactyly type A1B,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
7545,7220,disease,brachydactyly type B1,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
7892,7222,disease,brachydactyly type D,MONDO,brachydactyly,brachydactyly,7217_14032_7218_7215_13244_7216_7223_12658_7221_14798_11757_7220_7222_19679_19677_19676_21004_19678_20701_22599
